Skill,Honeywell,CVS,HomeDepot,Intel,Gap,Rite Aid,Facebook,AAP,Best Buy,AmeriSource Bergen,Murphy USA,Jabil,General Motors,Marriott International,General Electronics,AT&T,Verizon,Darden Restaurants,Cintas,Lockheed Martin,Quest Diagnostics,PayPal,Goodyear Tire & Rubber,McKesson,ExxonMobil,Albertsons,ADP,DaVita,Well Forgo,Danaher,Berkshire_Hathaway,XPO_Logistics,UPS,Amazon,Anthem,Apple,Bank of America,BNY Mellon,CBRE,Cisco,L3 Harris,HCA HealthCare,Kroger,Microsoft,Raytheon Technologies,MC Donalds,UHG,Walgreens,Truist,Walmart,Walt Disney,Cognizant,Target,Tenet Healthcare,Dell,Total
complex problem solving,5,0,0,1,0,0,5,0,1,0,0,0,2,1,9,4,2,0,0,7,0,11,0,0,0,0,4,0,4,1,0,0,0,80,0,8,1,5,0,8,1,0,0,55,9,0,1,0,1,3,1,6,1,0,30,267
azure devops,0,0,0,1,2,0,0,0,3,2,0,5,18,0,2,0,0,0,0,0,0,0,4,0,27,0,0,0,2,8,0,0,2,3,1,0,0,0,11,12,0,0,2,42,4,0,17,0,3,3,3,77,0,1,11,266
financial accounting,2,0,1,0,0,0,7,5,0,0,0,0,1,0,2,1,1,0,0,0,1,11,22,0,12,1,2,0,11,5,0,27,0,17,0,2,41,5,57,2,1,0,0,0,6,0,1,1,1,0,4,9,0,1,5,265
data acquisition,12,0,5,2,0,0,3,0,0,1,0,18,6,0,15,2,0,0,0,25,0,0,7,0,0,0,1,0,0,7,0,0,3,4,0,31,0,1,2,4,14,0,1,16,26,0,8,2,5,5,3,1,34,0,1,265
aerospace engineering,30,0,0,4,0,0,1,0,0,0,0,0,9,0,19,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,7,0,0,0,0,35,0,0,0,100,0,0,0,0,0,0,0,0,0,0,264
substance abuse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,20,0,0,0,0,72,0,0,0,0,0,1,16,0,264
visual perception,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,2,0,264
data system,3,0,0,3,1,0,5,0,0,1,0,1,6,3,5,1,1,0,0,17,0,7,0,1,0,4,2,1,8,14,2,3,0,23,8,13,4,9,2,11,5,0,5,21,29,1,9,1,1,4,9,1,0,1,17,263
requirements management,21,0,0,1,0,0,0,0,0,1,0,2,11,0,3,3,0,0,0,42,0,0,0,1,0,0,0,1,1,7,0,0,0,1,0,1,0,7,0,0,44,0,0,1,93,0,3,0,0,0,1,17,0,0,0,262
technical management,10,0,0,2,5,0,66,0,0,0,0,0,0,0,2,5,0,0,0,9,0,0,0,0,0,2,1,0,12,3,0,1,0,15,0,8,0,0,4,1,5,0,0,0,23,0,3,0,2,1,4,0,0,0,78,262
switch,7,1,0,2,0,0,4,14,0,0,0,3,2,0,1,7,11,0,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0,13,0,26,0,4,1,71,11,0,3,13,6,0,0,32,0,0,1,1,0,2,17,262
product strategies,41,0,0,4,15,0,16,0,1,3,0,0,1,0,4,24,3,0,0,5,0,7,1,0,0,0,13,1,1,3,0,0,0,10,8,2,4,2,0,6,1,0,1,10,2,0,0,0,3,7,5,1,1,0,55,261
transmission,2,0,0,3,0,0,1,0,0,0,0,1,7,0,14,6,1,0,0,7,0,6,0,0,0,0,1,0,1,0,0,9,145,2,0,2,1,2,8,4,8,2,0,0,18,0,1,0,0,0,5,0,1,2,1,261
streamlining,2,0,1,0,2,0,10,8,0,2,0,82,0,0,2,0,5,0,0,3,0,6,1,1,2,0,1,2,2,2,0,8,1,42,7,10,2,3,4,2,0,1,0,11,8,0,9,0,3,1,2,2,2,1,7,260
security engineering,3,0,15,0,2,0,5,0,1,0,0,0,0,0,2,0,28,0,0,5,0,9,0,1,0,1,3,0,0,0,0,2,0,42,0,5,2,1,0,20,15,0,0,32,46,0,7,0,0,1,2,1,0,1,7,259
intercom,2,0,0,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,56,0,0,0,0,1,0,0,2,0,0,0,0,259
employment contracts,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,5,259
sales management,10,1,9,0,0,0,1,9,0,3,0,0,0,1,1,2,4,0,1,0,0,14,1,2,2,0,8,0,13,20,0,1,1,18,7,3,2,0,14,23,0,0,0,6,0,0,4,0,26,0,1,9,0,0,40,257
data lakes,3,0,1,0,0,0,0,0,0,5,0,0,2,0,2,3,1,0,0,4,1,29,0,0,3,0,5,1,8,1,2,0,1,55,4,2,3,5,0,4,0,0,0,50,2,0,2,0,0,19,2,35,1,0,1,257
urinalysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,24,152,0,0,0,51,0,0,0,0,0,0,17,0,257
care coordination,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,134,0,0,0,0,0,0,11,0,0,0,0,59,0,0,0,0,0,0,47,0,254
merchant services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,254
artifactory,12,0,0,0,1,0,0,0,0,0,0,0,12,0,11,1,0,0,0,9,0,10,0,0,0,0,8,1,61,1,0,0,0,2,1,6,3,1,0,31,8,0,1,0,17,0,9,0,1,2,3,3,3,0,35,253
build tools,1,0,0,0,0,0,22,0,0,0,0,0,3,0,2,0,0,0,0,2,0,56,0,0,4,0,4,0,0,3,0,0,0,13,0,12,5,3,3,13,1,0,0,12,4,0,3,0,37,5,2,16,8,0,17,251
medicaid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,50,0,0,0,0,0,0,1,1,0,0,0,129,3,0,0,0,0,0,62,0,250
calibration,16,0,0,0,0,0,1,0,0,1,0,2,17,0,13,0,0,0,0,8,127,2,1,0,1,0,0,0,0,15,0,0,0,0,0,14,0,0,2,2,2,1,2,1,18,0,0,0,0,0,2,0,0,1,0,249
stakeholder management,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,5,0,0,0,0,18,0,1,0,0,5,7,0,0,0,3,0,0,1,0,0,1,1,173,0,0,12,249
biomedical technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249
venipuncture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,108,0,0,0,0,0,0,21,0,249
architectural design,4,0,0,9,0,0,3,1,0,0,0,1,2,0,27,0,8,0,0,5,0,5,2,1,1,0,0,0,2,4,0,1,0,7,0,3,8,3,2,16,6,0,0,78,7,0,3,1,0,4,2,7,1,0,23,247
design thinking,34,1,2,0,5,0,13,0,1,3,0,0,5,0,6,0,6,0,0,1,0,1,0,0,0,2,0,0,3,2,0,1,0,15,20,5,1,5,3,24,0,0,1,17,1,0,1,0,3,11,3,23,1,0,26,246
instructing,10,1,0,5,0,0,4,0,0,0,0,3,1,26,28,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,4,0,1,20,0,0,12,0,0,1,0,7,0,0,0,102,2,245
google cloud platform,0,0,7,0,0,0,0,1,3,0,0,0,0,0,1,3,9,0,0,1,0,30,0,1,3,1,1,1,9,0,0,1,0,2,0,2,0,2,1,12,0,0,4,2,0,0,5,0,0,20,1,36,4,0,82,245
chemical engineering,52,0,0,35,0,0,4,0,0,0,0,4,12,0,7,0,0,0,0,4,0,0,8,1,23,3,0,0,0,33,0,0,0,3,0,25,0,0,1,0,4,0,5,0,16,0,0,0,0,0,0,0,0,0,4,244
cosmetology,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,3,0,0,0,0,244
asset classes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,1,0,0,120,84,15,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,244
graphic design,11,0,0,2,12,0,8,0,1,1,1,2,11,0,0,13,1,0,0,6,0,1,1,3,0,1,4,0,0,5,0,1,1,27,0,31,0,1,24,11,0,0,0,1,11,0,4,1,6,4,22,2,3,0,9,243
machine learning algorithms,1,1,0,1,0,0,26,0,0,0,0,0,0,0,0,0,2,0,0,8,0,35,0,0,0,0,0,0,5,1,0,1,0,32,1,38,1,2,0,11,4,0,0,32,4,1,3,0,0,15,5,1,4,0,8,243
youtube channels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,243
data infrastructure,4,0,1,0,0,0,51,1,0,0,0,2,1,0,0,1,0,0,0,1,0,14,0,0,0,2,2,0,31,0,0,0,0,36,1,22,2,0,2,10,0,0,0,16,1,0,6,0,2,4,1,3,0,1,24,242
cloud management,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,11,0,0,0,0,3,0,0,0,0,0,7,0,0,0,21,6,0,0,0,0,2,0,0,0,0,187,242
microsoft windows,6,0,2,0,0,0,0,1,0,0,2,0,0,0,3,3,2,0,0,17,15,0,0,0,4,0,2,0,0,5,0,0,0,13,20,0,0,0,8,8,16,2,1,22,68,0,2,2,0,0,4,1,0,0,12,241
technical sales,34,0,0,2,0,0,0,0,0,1,0,0,0,0,9,33,2,0,0,0,0,5,0,0,0,0,0,0,3,10,0,0,0,24,0,1,0,1,0,55,0,0,0,24,1,0,0,0,0,0,0,2,0,0,33,240
digital technology,2,0,0,0,0,0,1,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,25,1,0,0,0,1,0,1,0,0,0,1,2,10,1,13,100,3,0,0,0,0,6,50,0,0,5,240
films,49,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,11,0,0,0,0,0,13,0,0,0,0,4,0,0,0,114,0,0,19,0,239
technical analysis,6,0,1,1,2,0,6,0,1,0,0,1,2,1,7,9,19,0,0,6,0,1,0,0,1,0,1,0,19,2,0,1,6,10,0,8,2,4,0,8,8,0,0,6,19,2,5,0,1,0,3,4,2,0,64,239
consumables,1,0,0,1,0,0,1,0,0,0,0,1,0,0,4,5,0,0,0,4,20,6,0,0,0,0,0,0,14,32,0,0,0,11,0,2,0,0,6,13,1,1,0,18,4,0,1,69,0,3,9,3,0,0,9,239
work order,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,6,0,7,0,0,0,0,0,0,195,0,12,0,2,1,2,0,2,0,0,0,2,0,0,1,0,239
probability,14,0,0,0,0,0,3,0,0,0,0,132,4,0,1,0,8,0,0,9,0,1,0,0,0,0,0,0,7,4,4,0,0,5,0,9,2,0,1,2,5,0,1,0,14,0,3,0,5,2,1,0,0,0,0,237
technology roadmap,12,0,0,2,7,0,9,0,0,0,0,9,2,0,5,0,4,0,0,1,0,0,0,1,5,2,1,0,2,5,3,0,0,37,0,8,1,20,1,11,3,0,3,12,13,0,7,0,1,0,4,19,0,0,27,237
certified hemodialysis nurse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237
continuous improvement process,19,0,0,1,1,0,1,0,1,1,0,1,6,0,6,0,1,0,2,7,5,4,1,4,2,6,3,0,8,16,0,15,0,37,0,17,4,7,2,3,13,2,0,7,12,0,2,0,1,2,2,2,1,3,8,236
order fulfillment,0,0,68,0,0,0,0,0,0,78,0,1,2,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,13,26,14,1,11,0,0,0,2,0,0,1,1,3,0,0,1,0,0,1,0,2,0,2,236
propulsion,26,0,0,0,0,0,0,0,0,0,0,0,39,0,7,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,114,0,0,0,0,0,1,0,0,0,0,234
network engineering,0,0,14,2,2,0,30,0,0,0,0,0,2,0,4,9,20,0,0,7,0,3,0,2,0,3,2,0,0,0,0,0,0,42,0,1,0,0,0,29,8,0,1,1,31,0,5,0,0,0,3,4,0,0,9,234
communications protocols,36,0,0,2,0,0,6,0,0,0,0,2,6,0,6,1,0,0,0,12,2,1,0,0,0,0,0,0,0,7,0,0,2,21,0,46,0,0,7,5,17,0,0,6,26,0,1,0,0,1,4,11,0,1,3,232
file systems,11,0,1,2,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,12,0,12,0,0,1,0,0,0,9,0,0,0,0,8,0,16,0,0,4,24,6,0,0,11,12,0,2,0,0,1,0,2,1,0,89,232
mongodb,4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,4,0,6,0,0,1,1,7,0,8,1,0,0,0,8,2,5,0,6,0,34,0,0,0,4,15,0,5,0,0,10,5,4,8,0,84,229
gradle,1,0,0,0,4,0,0,8,0,0,0,1,2,0,9,0,0,0,0,7,0,3,0,0,6,4,9,0,80,1,0,0,0,0,0,4,2,6,0,5,6,0,0,0,7,0,5,0,0,2,2,12,5,0,37,228
instructional design,14,0,6,1,8,1,15,0,2,1,0,0,0,2,1,0,0,0,0,8,0,11,1,2,0,0,4,3,1,5,0,7,0,39,27,9,0,0,2,7,4,0,0,1,9,0,15,0,0,2,4,6,1,0,9,228
planogram,0,0,4,0,0,3,0,1,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,174,0,0,0,0,1,0,0,0,0,1,0,0,228
strategic sourcing,24,0,3,2,7,0,9,0,0,0,0,1,0,0,11,0,12,0,0,6,1,0,3,6,0,16,2,2,8,4,0,0,0,28,0,1,0,0,11,4,4,0,6,3,31,1,2,1,1,0,11,0,1,1,3,226
rexcel,84,1,37,12,23,2,0,0,0,0,0,0,7,0,32,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225
ergonomics,1,0,0,1,0,0,3,0,0,0,0,2,9,0,4,0,0,0,0,2,4,1,6,0,4,0,1,0,0,7,0,0,0,144,0,3,0,0,5,0,0,0,0,0,17,0,0,0,0,2,2,0,1,0,5,224
network protocols,5,0,2,8,0,0,3,0,0,0,0,0,0,0,7,1,12,0,0,17,0,5,0,4,1,1,0,0,0,0,0,0,0,3,0,17,3,2,0,48,1,0,0,19,44,0,1,0,0,0,3,0,0,0,17,224
public health,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,0,3,2,0,0,5,0,8,0,0,0,3,60,2,0,0,1,0,0,5,1,0,2,1,73,3,0,0,1,0,0,34,1,224
organizational effectiveness,13,0,0,0,3,0,0,0,1,0,0,2,0,0,1,0,0,0,0,5,1,0,1,6,0,2,3,2,5,1,0,0,0,70,0,1,1,0,62,1,1,0,2,10,6,0,4,1,0,1,7,0,0,4,6,223
image processing,6,0,0,5,0,0,34,0,0,0,0,1,1,0,9,0,0,0,0,19,0,0,1,0,0,0,0,0,5,2,0,0,3,10,0,53,0,0,0,3,18,0,0,15,26,0,0,0,0,2,2,3,1,0,4,223
systemverilog,4,0,0,34,0,0,10,0,0,0,0,1,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,111,0,0,0,15,5,0,0,5,17,0,0,0,0,0,0,0,0,0,0,223
usb,12,0,0,17,0,0,18,0,1,0,0,7,11,0,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,86,0,0,0,9,5,0,0,9,10,0,0,0,0,1,0,2,0,0,9,222
appdynamics,17,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,41,0,0,0,0,0,0,3,5,14,0,106,0,0,0,0,1,0,0,0,1,2,1,3,1,0,13,222
cloud foundry,0,0,1,0,12,0,0,0,0,0,0,0,9,0,4,0,3,0,0,2,0,1,0,3,0,4,0,0,33,0,0,0,0,0,0,0,1,0,0,9,0,0,1,6,0,0,0,0,0,0,0,10,0,0,122,221
empowerment,0,0,0,2,1,0,0,0,2,0,0,3,0,46,0,0,1,0,0,0,5,5,0,3,2,0,1,0,3,2,0,0,0,11,6,1,0,2,1,39,2,0,0,21,4,0,4,0,0,2,4,2,0,1,45,221
revenue management,0,0,0,0,0,0,2,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,4,0,0,0,0,1,1,0,0,0,0,0,0,34,0,0,0,33,68,0,2,1,221
devsecops,15,0,2,0,0,0,2,0,1,0,0,0,0,0,0,1,3,0,0,55,2,0,1,4,0,0,0,0,3,0,0,0,0,8,1,1,0,0,0,27,11,0,0,0,58,0,0,0,2,1,0,0,0,0,22,220
postgresql,10,0,0,0,0,0,1,0,0,0,0,2,2,0,7,1,3,0,0,11,0,20,0,1,1,1,2,0,3,0,0,0,0,29,4,11,2,3,2,41,3,0,0,4,12,0,4,0,1,1,7,0,5,0,25,219
computer hardware,2,0,0,4,1,0,3,4,0,10,0,0,1,27,0,0,6,0,0,19,0,0,0,1,0,0,0,1,0,11,0,0,0,38,1,1,1,0,7,4,7,0,1,2,37,0,1,0,0,1,1,1,0,5,21,219
basic life support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,110,0,218
fixed income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,1,0,0,51,47,1,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,217
threat modeling,18,0,1,1,0,0,5,0,0,1,0,0,0,0,12,1,3,0,0,9,1,35,1,0,0,1,0,0,5,6,0,0,0,44,0,6,2,1,0,14,0,0,0,10,10,0,4,0,4,0,3,1,0,1,16,216
crisis management,6,0,0,0,1,0,22,0,0,1,0,0,0,3,0,0,1,0,0,2,1,3,1,1,0,0,0,0,16,2,0,0,0,37,0,8,1,5,2,39,1,0,2,20,0,0,3,0,0,2,10,0,5,7,14,216
information architecture,8,0,8,1,0,0,2,0,2,0,0,3,2,0,1,0,5,0,0,2,0,10,0,1,0,2,2,0,6,1,3,0,0,34,6,6,5,6,2,6,0,0,3,43,0,0,5,0,6,5,2,5,1,0,21,215
hospice,2,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,47,0,0,0,0,0,0,15,0,0,0,0,85,0,0,0,0,0,0,54,0,215
production systems,10,0,4,0,0,0,1,12,0,0,0,2,3,0,7,1,3,0,0,6,7,3,1,0,1,2,1,0,1,4,0,0,0,29,0,17,1,0,0,6,2,1,0,22,13,0,3,0,0,2,6,5,0,0,38,214
marketing communications,11,0,1,5,1,1,12,0,0,0,0,1,1,28,6,3,1,0,0,1,4,3,1,0,0,1,1,0,0,11,0,0,0,10,35,26,0,8,0,4,7,0,0,3,0,0,3,0,1,3,9,0,1,0,11,214
rapid prototyping,14,1,4,0,0,0,16,1,0,0,0,2,6,0,2,5,0,0,0,26,0,34,2,1,0,0,0,0,0,4,0,6,0,14,0,17,0,0,0,10,10,0,0,17,5,0,2,0,0,5,4,1,2,0,2,213
encryption,13,0,1,4,0,0,7,0,1,2,0,0,0,0,4,17,8,0,0,22,0,4,0,0,0,2,2,1,7,1,5,1,0,5,0,11,3,4,1,18,8,0,0,8,25,1,0,0,4,0,1,5,0,0,17,213
application security,7,0,10,0,0,0,4,0,1,0,0,0,2,0,0,0,25,0,0,0,0,35,0,1,0,1,2,0,19,0,0,1,0,16,10,5,2,14,0,26,1,0,0,11,0,1,2,0,1,0,2,3,0,0,10,212
build automation,70,0,0,7,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,2,0,3,0,0,0,2,6,0,2,0,0,0,0,6,0,8,2,0,0,4,2,0,0,31,18,0,6,0,6,1,1,3,0,0,25,212
encompass,13,0,0,0,0,0,5,0,0,0,0,4,0,9,2,0,0,0,0,3,0,0,0,0,0,1,0,0,2,2,0,0,0,12,21,10,11,18,14,2,5,12,0,26,18,0,1,0,0,5,1,0,0,6,8,211
reverse engineering,10,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,12,0,0,25,0,6,0,0,0,0,0,0,4,0,0,0,0,3,0,12,0,1,0,10,8,0,0,31,77,0,1,0,0,0,0,1,0,0,5,209
product assortment,0,0,2,0,13,0,0,0,181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,209
wireshark,3,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,35,0,0,12,0,0,0,1,0,0,0,0,5,0,2,4,0,2,0,9,0,3,0,54,7,0,0,19,20,0,0,0,0,2,1,1,0,0,23,208
anomaly detection,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,21,0,10,0,2,0,121,0,0,0,13,0,0,0,0,0,6,2,0,1,0,7,207
virtual teams,59,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,22,0,0,0,0,3,0,0,0,25,0,0,0,0,3,3,0,1,0,0,6,0,0,0,47,3,0,3,0,0,0,0,1,0,0,27,207
resourcefulness,8,0,0,1,1,0,4,0,0,0,0,0,0,0,2,0,6,0,0,26,1,4,0,1,0,0,3,0,0,7,0,7,1,9,15,14,3,3,3,12,2,0,0,12,29,0,6,0,4,0,10,1,8,0,4,207
earned value management,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48,0,0,0,94,0,1,0,0,0,0,0,0,0,0,207
medical practices,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,173,0,0,0,0,0,0,14,0,207
communications systems,10,0,0,2,0,0,2,0,0,1,0,1,0,0,0,2,0,0,1,13,0,0,1,0,0,0,0,0,0,2,0,0,1,6,0,23,0,0,0,3,84,0,0,0,48,0,5,0,0,0,1,0,0,0,0,206
microsoft dynamics,0,0,4,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,4,2,4,4,0,0,128,1,0,0,0,1,0,0,42,0,0,2,206
econometrics,0,0,0,0,0,0,16,0,0,1,0,0,1,0,0,4,8,0,0,0,0,2,0,0,0,0,0,0,53,0,0,0,0,34,18,5,4,5,2,0,0,0,0,2,1,0,8,0,13,22,5,0,2,0,0,206
incident response,6,0,1,0,1,0,5,0,2,1,0,0,0,0,4,7,14,0,0,16,0,11,0,4,0,1,1,0,1,0,1,2,2,14,0,4,1,7,0,3,1,0,0,11,24,0,4,0,1,0,1,1,6,2,45,205
macros,4,0,2,6,1,0,3,6,0,4,0,2,0,1,3,0,3,0,1,10,1,3,0,1,0,0,1,0,11,5,0,4,0,34,0,26,5,5,9,2,5,0,0,3,10,0,10,0,3,0,5,2,1,1,12,205
data manipulation,0,0,4,0,1,0,22,1,1,0,0,0,1,0,3,0,4,0,0,2,2,9,0,3,3,7,2,1,18,0,0,1,0,28,9,6,3,10,11,8,0,0,0,1,4,0,24,0,0,2,1,3,1,0,9,205
proofreading,0,0,2,0,0,0,5,0,0,3,0,1,0,11,0,0,0,0,71,3,5,0,0,1,0,0,0,1,3,3,1,2,0,4,15,40,2,0,2,4,2,0,0,0,8,0,4,0,1,1,3,3,1,2,0,204
hosting,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,11,0,0,0,0,1,0,3,1,0,0,23,3,8,1,0,0,0,8,0,1,2,2,2,9,1,1,1,51,14,0,7,0,4,1,5,2,1,0,36,204
network connections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,196,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,204
development environment,1,0,0,6,4,0,5,0,0,0,0,0,0,0,23,0,0,0,0,18,1,0,0,0,0,2,3,0,1,2,0,0,0,43,0,14,1,1,0,17,0,0,0,12,23,0,5,0,1,4,0,1,0,0,15,203
physical therapy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,12,0,0,0,0,104,0,0,0,0,0,0,67,0,201
electronic warfare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,78,0,0,0,0,0,0,0,0,0,0,200
openstack,6,0,0,3,0,0,0,0,1,0,0,0,0,0,4,14,48,0,0,6,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,54,0,0,0,0,11,0,1,0,0,2,0,3,3,0,38,199
cloud operations,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,34,4,0,0,124,0,1,1,0,0,0,0,0,0,0,16,199
payroll processing,2,0,1,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,98,4,2,0,0,2,0,0,0,1,0,0,4,1,0,2,6,0,1,0,0,1,0,1,3,34,0,0,0,199
virtual machines,6,0,1,0,1,0,1,0,0,0,1,0,0,0,6,1,9,0,0,19,0,3,0,0,0,0,0,0,0,1,0,0,0,6,0,0,4,1,0,4,4,0,0,26,12,0,0,0,1,1,0,6,0,0,84,198
general ledger,3,0,5,0,0,1,1,0,0,3,0,2,2,1,2,2,3,0,0,0,2,5,15,1,2,2,5,0,21,4,0,3,1,4,5,1,6,11,7,2,9,2,2,2,4,0,11,0,4,4,3,19,1,2,13,198
information retrieval,0,0,4,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,44,0,34,1,0,0,1,0,0,0,90,9,0,0,0,0,2,0,0,0,0,6,198
