Skills,Apple,AmeriSourceBergen,Berkshire Hathaway,AT&T,McKesson,Exxon Mobil,General Motors,UnitedHealth Group,Walgreens,Verizon,Amazon,Walmart,CVS Health,Total
development management,0,1,8,1,0,0,1,0,0,0,1,0,3,15
management development,0,1,8,1,0,0,1,0,0,0,1,0,3,15
construction,0,1,1,0,6,3,3,0,0,0,1,0,0,15
process design,0,1,1,0,0,0,3,1,0,6,3,0,0,15
sas,0,1,0,1,1,2,4,3,0,0,2,1,0,15
database systems,0,2,11,0,0,0,0,2,0,0,0,0,0,15
database design,0,2,0,2,0,2,0,1,0,8,0,0,0,15
product design,0,2,1,0,1,0,6,1,0,0,4,0,0,15
adaptability,0,3,2,0,1,2,0,1,0,0,1,5,0,15
reconciliation,0,4,0,0,1,8,0,2,0,0,0,0,0,15
immigration law,0,0,0,0,14,0,0,0,0,0,0,0,0,14
order picking,0,0,0,0,14,0,0,0,0,0,0,0,0,14
pension funds,0,0,0,0,0,14,0,0,0,0,0,0,0,14
automake,0,0,0,0,0,0,14,0,0,0,0,0,0,14
insourcing,0,0,0,0,0,0,14,0,0,0,0,0,0,14
livers,0,0,0,0,0,0,14,0,0,0,0,0,0,14
real-time computing,0,0,0,0,0,0,14,0,0,0,0,0,0,14
supercomputing,0,0,0,0,0,0,14,0,0,0,0,0,0,14
underwriting,0,0,14,0,0,0,0,0,0,0,0,0,0,14
patience,12,0,0,0,0,1,0,1,0,0,0,0,0,14
services marketing,0,0,1,0,0,0,0,0,0,12,1,0,0,14
ada,0,0,0,0,1,0,11,0,0,1,1,0,0,14
dot,0,0,0,0,9,0,1,1,0,0,3,0,0,14
technical documentation,0,0,2,1,1,2,8,0,0,0,0,0,0,14
information privacy,0,0,0,0,0,0,0,7,7,0,0,0,0,14
data structures,0,0,0,0,0,1,5,2,0,0,6,0,0,14
b,0,0,3,0,5,1,0,3,0,1,1,0,0,14
prototyping,0,1,0,0,1,0,4,2,0,6,0,0,0,14
data modeling,0,1,0,0,0,5,3,2,0,0,2,1,0,14
integration testing,0,2,1,1,0,0,2,0,0,8,0,0,0,14
business analysis,0,3,2,0,1,3,1,1,0,0,2,1,0,14
practice management,0,4,2,0,3,1,0,3,0,0,1,0,0,14
music video,13,0,0,0,0,0,0,0,0,0,0,0,0,13
internal medicine,0,0,0,0,0,0,0,13,0,0,0,0,0,13
behavioral health,0,0,0,0,0,0,0,12,0,0,1,0,0,13
imagination,0,0,0,0,0,0,0,1,0,12,0,0,0,13
managed services,0,0,0,0,0,0,0,8,0,4,1,0,0,13
peer review,0,0,7,0,1,0,5,0,0,0,0,0,0,13
scalability,0,0,0,1,0,1,2,1,0,2,6,0,0,13
cloud technologies,0,0,2,0,0,5,0,2,0,0,3,1,0,13
systems architecture,0,0,2,0,0,4,2,0,0,0,5,0,0,13
regulatory requirements,0,0,2,0,4,2,0,3,0,0,1,0,1,13
back end,0,0,0,0,1,2,4,1,0,0,3,2,0,13
calibration,0,1,0,0,0,0,12,0,0,0,0,0,0,13
data store,0,1,7,0,0,0,2,1,0,0,2,0,0,13
client services,0,1,7,0,0,0,0,1,0,3,0,0,1,13
installation,0,1,0,0,1,6,4,0,0,0,0,1,0,13
budgeting,0,1,0,0,1,0,0,1,0,6,1,3,0,13
data warehousing,0,1,0,1,0,0,1,2,0,6,2,0,0,13
risk management,0,1,3,0,2,0,0,2,0,0,5,0,0,13
valid drivers license,0,1,4,0,0,1,4,1,0,1,1,0,0,13
systems integration,0,3,0,1,0,2,4,0,0,1,1,1,0,13
market research,0,5,3,0,0,0,0,1,0,0,4,0,0,13
product description,2,11,0,0,0,0,0,0,0,0,0,0,0,13
geriatrics,0,0,0,0,0,0,0,12,0,0,0,0,0,12
manufacturing processes,0,0,0,0,0,0,12,0,0,0,0,0,0,12
process manufacturing,0,0,0,0,0,0,12,0,0,0,0,0,0,12
selling techniques,0,0,0,0,0,0,0,0,0,12,0,0,0,12
cold chain,0,0,0,0,0,0,0,1,0,0,0,11,0,12
food safety,0,0,0,0,0,0,0,0,0,0,1,11,0,12
surgery,0,0,0,0,10,0,0,0,0,0,0,2,0,12
ic programming,0,0,0,10,0,0,2,0,0,0,0,0,0,12
software testing,0,0,0,3,0,0,9,0,0,0,0,0,0,12
network management,0,0,1,0,2,0,0,1,0,8,0,0,0,12
rowing,0,0,0,5,0,0,7,0,0,0,0,0,0,12
investments,0,0,0,0,1,0,1,2,0,1,7,0,0,12
team building,0,0,0,0,0,0,3,1,0,5,2,0,1,12
contract management,4,0,0,0,0,2,0,2,0,3,1,0,0,12
management contract,4,0,0,0,0,2,0,2,0,3,1,0,0,12
puppet,0,1,0,1,0,8,0,0,0,1,1,0,0,12
html5,0,1,0,8,0,2,1,0,0,0,0,0,0,12
tooling,0,1,0,0,0,1,7,1,0,0,2,0,0,12
disaster recovery,0,1,5,0,0,3,2,0,0,0,1,0,0,12
datamodel,0,3,0,0,0,7,0,0,0,0,1,1,0,12
multitasking,0,3,0,5,0,2,0,2,0,0,0,0,0,12
data integrity,0,4,1,0,0,2,0,4,0,0,1,0,0,12
acute care,0,5,0,0,2,0,0,5,0,0,0,0,0,12
patient education,0,5,0,0,2,0,0,4,0,0,0,0,1,12
cycle counting,0,11,0,0,0,0,1,0,0,0,0,0,0,12
employment contracts,0,0,0,0,0,0,0,11,0,0,0,0,0,11
medicaid,0,0,0,0,0,0,0,11,0,0,0,0,0,11
medicare advantage,0,0,0,0,0,0,0,11,0,0,0,0,0,11
corda,0,0,0,0,0,0,11,0,0,0,0,0,0,11
product recall,0,0,0,0,0,0,0,0,0,0,0,11,0,11
material handling,0,0,0,0,9,0,2,0,0,0,0,0,0,11
numbers,0,0,7,0,1,0,0,0,0,2,1,0,0,11
technical sales,2,0,0,7,0,0,0,0,0,0,2,0,0,11
editing,0,0,0,0,0,0,0,6,0,0,5,0,0,11
technical writing,0,0,0,0,3,1,6,1,0,0,0,0,0,11
voltage,0,0,0,0,5,0,6,0,0,0,0,0,0,11
basic math,0,0,5,0,0,0,0,0,2,0,0,4,0,11
security systems,0,0,1,1,1,1,0,0,0,5,2,0,0,11
loss prevention,0,0,1,0,0,1,0,0,0,0,1,3,5,11
advising,4,0,0,0,0,1,3,0,0,0,1,0,2,11
primary care,0,1,0,0,1,0,0,9,0,0,0,0,0,11
product lifecycle,0,1,0,0,1,1,0,1,0,6,1,0,0,11
data governance,0,1,5,0,0,1,1,2,0,0,0,1,0,11
terraform,0,1,0,5,1,2,0,2,0,0,0,0,0,11
thought leadership,0,1,0,0,0,0,0,3,0,5,2,0,0,11
cloud services,0,1,3,0,0,1,0,0,0,1,5,0,0,11
mapping,0,1,0,1,1,0,2,4,0,1,1,0,0,11
data lakes,0,1,2,1,0,1,1,1,0,0,4,0,0,11
phase,1,1,0,0,0,3,3,1,0,0,2,0,0,11
change request,0,1,0,3,2,3,2,0,0,0,0,0,0,11
business continuity,0,2,3,0,1,4,0,0,0,0,1,0,0,11
project planning,0,2,0,0,0,1,4,1,0,1,2,0,0,11
business case,0,2,0,0,1,0,3,0,0,0,4,1,0,11
business analytics,0,4,0,0,1,0,1,0,0,3,2,0,0,11
critical care,0,5,0,0,0,0,0,0,0,6,0,0,0,11
radio frequency,0,10,0,0,1,0,0,0,0,0,0,0,0,11
biotechnology,0,10,0,0,1,0,0,0,0,0,0,0,0,11
punctuality,0,11,0,0,0,0,0,0,0,0,0,0,0,11
wholesaling,0,0,0,0,10,0,0,0,0,0,0,0,0,10
house call,0,0,0,0,0,0,0,10,0,0,0,0,0,10
cardiology,0,0,0,0,0,0,0,10,0,0,0,0,0,10
simula,0,0,0,0,0,0,10,0,0,0,0,0,0,10
product layout,0,0,0,0,0,0,0,0,0,0,0,10,0,10
vehicle inspection,0,0,0,0,9,0,0,0,0,0,1,0,0,10
financial accounting,0,0,1,0,1,8,0,0,0,0,0,0,0,10
transmission,0,0,1,0,1,0,8,0,0,0,0,0,0,10
file management,0,0,8,0,0,0,0,2,0,0,0,0,0,10
electrical and computer engineering,0,0,0,0,0,0,2,0,0,8,0,0,0,10
security engineering,0,0,0,0,1,0,0,0,0,8,1,0,0,10
compressors,0,0,0,0,7,1,2,0,0,0,0,0,0,10
business economics,0,0,0,0,1,7,0,0,0,0,2,0,0,10
microsoft excel,0,0,0,0,1,0,0,7,0,1,1,0,0,10
matlab,0,0,0,0,0,2,7,0,0,0,1,0,0,10
virtual environment,0,0,0,0,0,2,1,0,7,0,0,0,0,10
cold calling,0,0,0,7,0,0,0,0,0,1,1,1,0,10
customer insight,6,0,0,0,0,3,0,0,0,0,1,0,0,10
systems development,0,0,2,0,0,1,6,0,0,0,1,0,0,10
splunk,0,0,0,3,1,5,0,1,0,0,0,0,0,10
system monitoring,0,0,0,0,0,2,1,0,0,1,1,5,0,10
preventive maintenance,0,0,0,0,4,1,1,0,0,0,1,3,0,10
containerization,0,0,4,0,2,2,2,0,0,0,0,0,0,10
cloud infrastructure,0,0,0,4,1,0,3,0,0,0,2,0,0,10
product engineering,0,0,0,3,0,0,2,0,0,4,1,0,0,10
data centers,0,0,0,2,2,0,1,0,0,1,4,0,0,10
market trend,1,0,2,0,3,1,1,0,0,0,2,0,0,10
software design,0,0,1,2,0,3,2,0,0,0,1,1,0,10
data pipeline,0,0,0,2,0,3,1,0,0,0,3,1,0,10
knowledge base,1,0,3,0,0,0,1,3,0,1,1,0,0,10
business model,0,0,2,1,1,0,0,0,0,3,3,0,0,10
progress monitoring,0,1,0,0,0,0,0,0,0,0,0,9,0,10
strategic planning,0,1,7,0,1,0,0,0,0,0,1,0,0,10
lifecycle management,0,1,0,0,0,2,0,0,0,6,1,0,0,10
software quality,0,1,0,3,0,0,4,0,0,0,2,0,0,10
streamlines,0,1,0,4,1,0,3,0,0,1,0,0,0,10
business strategies,0,1,3,1,0,0,0,0,0,3,0,2,0,10
business planning,0,2,0,0,1,0,0,2,4,0,1,0,0,10
typing,0,4,0,0,0,0,4,1,0,0,0,0,1,10
order fulfillment,0,9,0,0,1,0,0,0,0,0,0,0,0,10
constant contact,9,0,0,0,0,0,0,0,0,0,0,0,0,9
health care system,0,0,0,0,0,0,0,9,0,0,0,0,0,9
protected health information,0,0,0,0,0,0,0,9,0,0,0,0,0,9
health assessment,0,0,0,0,0,0,0,9,0,0,0,0,0,9
active safety,0,0,0,0,0,0,9,0,0,0,0,0,0,9
ring theory,0,0,0,0,0,0,9,0,0,0,0,0,0,9
simulink,0,0,0,0,0,0,9,0,0,0,0,0,0,9
self checkout,0,0,0,0,0,0,0,0,0,0,0,9,0,9
pipe,0,0,0,0,0,1,8,0,0,0,0,0,0,9
rust,0,0,0,0,0,0,8,0,0,0,1,0,0,9
javascript frameworks,0,0,0,8,0,0,1,0,0,0,0,0,0,9
jupyter,0,0,0,0,0,0,1,0,0,8,0,0,0,9
federal laws,0,0,0,0,0,0,0,1,7,0,0,1,0,9
locks,0,0,0,0,1,0,6,0,0,0,0,0,2,9
settlement,0,0,6,0,0,3,0,0,0,0,0,0,0,9
document management,0,0,1,0,1,0,1,0,0,6,0,0,0,9
elasticsearch,0,0,0,1,0,1,0,1,0,6,0,0,0,9
openshift,0,0,0,0,0,4,0,5,0,0,0,0,0,9
operations security,0,0,1,1,0,1,0,0,0,5,1,0,0,9
security domain,0,0,3,0,0,0,1,0,0,5,0,0,0,9
vulnerability,0,0,3,0,1,0,0,0,0,5,0,0,0,9
warehouse management,0,0,0,0,4,0,4,0,0,0,1,0,0,9
security controls,0,0,0,0,0,4,2,0,0,0,3,0,0,9
emerging technologies,0,0,0,0,0,0,4,1,0,1,3,0,0,9
security awareness,0,0,4,0,0,2,0,0,0,3,0,0,0,9
massive,0,0,0,3,0,0,2,0,0,0,4,0,0,9
selenium,0,0,3,0,0,0,3,1,0,2,0,0,0,9
agile software development,0,0,3,0,1,0,2,1,0,0,2,0,0,9
proportion,0,1,8,0,0,0,0,0,0,0,0,0,0,9
time constraints,1,1,0,0,0,0,1,0,0,6,0,0,0,9
sprint planning,0,1,3,0,0,3,1,1,0,0,0,0,0,9
receivables,0,1,0,1,1,3,1,2,0,0,0,0,0,9
technical information,0,1,3,0,0,3,0,0,0,0,2,0,0,9
data security,0,1,3,0,0,2,0,3,0,0,0,0,0,9
user interface,0,1,2,1,1,1,0,0,0,0,3,0,0,9
public health,0,2,0,0,1,1,0,5,0,0,0,0,0,9
continuous delivery,0,2,0,0,0,2,2,3,0,0,0,0,0,9
data quality,0,2,2,0,0,2,2,1,0,0,0,0,0,9
data system,0,2,2,1,0,1,1,1,0,0,1,0,0,9
performance monitor,0,3,3,0,0,0,1,1,0,0,1,0,0,9
system support,0,3,0,1,0,0,2,1,0,0,2,0,0,9
massages,0,0,0,0,0,8,0,0,0,0,0,0,0,8
expresso!,0,0,0,0,0,0,0,8,0,0,0,0,0,8
endocrinology,0,0,0,0,0,0,0,8,0,0,0,0,0,8
gerontology,0,0,0,0,0,0,0,8,0,0,0,0,0,8
probation,0,0,0,0,0,0,0,8,0,0,0,0,0,8
stall,0,0,0,0,0,0,8,0,0,0,0,0,0,8
workers compensation claims,0,0,8,0,0,0,0,0,0,0,0,0,0,8
intercom,0,0,0,0,0,0,0,0,8,0,0,0,0,8
jupyter notebook,0,0,0,0,0,0,0,0,0,8,0,0,0,8
network interface,0,0,0,0,0,0,0,0,0,8,0,0,0,8
smart cards,0,0,0,0,0,0,0,0,0,8,0,0,0,8
recipes,0,0,0,0,0,0,0,0,0,0,0,8,0,8
shopping lists,0,0,0,0,0,0,0,0,0,0,0,8,0,8
transaction processing,0,0,0,0,0,0,0,0,0,0,0,8,0,8
community health,0,0,0,0,0,1,0,7,0,0,0,0,0,8
medical practices,0,0,0,0,1,0,0,7,0,0,0,0,0,8
microprocessor,0,0,0,0,2,0,6,0,0,0,0,0,0,8
kibana,0,0,0,0,0,0,1,1,0,6,0,0,0,8
stewardship,0,0,2,0,0,5,1,0,0,0,0,0,0,8
data integration,0,0,0,0,0,2,5,0,0,0,0,1,0,8
spring boot,0,0,0,0,0,0,5,2,0,0,0,1,0,8
test design,0,0,0,0,0,3,5,0,0,0,0,0,0,8
security software,0,0,3,0,0,0,0,0,0,5,0,0,0,8
software security,0,0,3,0,0,0,0,0,0,5,0,0,0,8
deep learning,0,0,0,0,0,0,2,1,0,0,5,0,0,8
switch,4,0,0,0,0,0,2,0,2,0,0,0,0,8
firewall,0,0,2,0,0,4,0,0,0,2,0,0,0,8
maintainability,0,0,0,2,0,1,4,0,0,0,1,0,0,8
process engineering,0,0,0,1,0,0,4,0,0,0,2,1,0,8
enterprise architecture,0,0,4,0,1,1,0,1,0,0,1,0,0,8
deposition,0,0,4,0,0,0,1,1,0,0,2,0,0,8
lead management,0,0,0,0,1,0,0,0,4,0,0,0,3,8
network service,0,0,0,0,0,3,1,0,0,4,0,0,0,8
chemistry,0,0,0,0,0,3,3,0,0,0,2,0,0,8
data ingestion,0,0,2,2,0,3,0,1,0,0,0,0,0,8
product support,1,0,0,3,0,0,1,1,0,0,2,0,0,8
contractor management,0,0,0,0,0,2,0,2,0,3,1,0,0,8
marketing communications,0,0,2,0,1,0,0,2,0,0,3,0,0,8
program development,0,0,0,0,0,1,2,1,0,0,1,0,3,8
functional design,0,1,0,1,0,0,0,0,0,6,0,0,0,8
translations,0,1,0,0,0,0,0,0,0,6,1,0,0,8
acceptance testing,0,1,0,0,1,2,4,0,0,0,0,0,0,8
jquery,0,1,4,0,0,1,0,1,0,0,1,0,0,8
incident management,0,1,0,2,1,3,1,0,0,0,0,0,0,8
quality control,0,1,1,0,0,3,0,3,0,0,0,0,0,8
surveys,0,1,0,0,0,1,3,0,0,0,1,0,2,8
psychology,0,1,0,0,1,0,0,1,0,3,2,0,0,8
data mining,0,1,0,0,0,0,0,2,0,3,2,0,0,8
financial management,0,1,0,0,1,0,0,0,0,3,0,0,3,8
filing,0,1,2,0,0,2,1,1,0,0,0,1,0,8
internal controls,0,2,0,0,1,0,4,0,0,0,1,0,0,8
talent management,0,2,2,0,0,0,0,0,0,1,3,0,0,8
influencing skills,0,2,0,0,2,1,0,0,0,0,2,0,1,8
management information systems,0,2,2,0,0,2,1,0,0,0,1,0,0,8
workday,0,3,0,0,0,0,2,1,0,0,0,0,2,8
employee engagement,0,3,0,0,2,0,0,0,0,0,3,0,0,8
functional specification,0,3,0,0,0,1,1,1,0,0,2,0,0,8
bash,0,0,0,0,0,7,0,0,0,0,0,0,0,7
assisted living,0,0,0,0,0,0,0,7,0,0,0,0,0,7
cardiovascular disease,0,0,0,0,0,0,0,7,0,0,0,0,0,7
internet services,0,0,0,0,0,0,0,7,0,0,0,0,0,7
lina,0,0,0,0,0,0,7,0,0,0,0,0,0,7
contraindication,0,0,0,0,0,0,0,0,7,0,0,0,0,7
preventive healthcare,0,0,0,0,0,0,0,0,7,0,0,0,0,7
service strategy,0,0,0,0,0,0,0,0,7,0,0,0,0,7
node.js,0,0,0,7,0,0,0,0,0,0,0,0,0,7
intelligent networks,0,0,0,0,0,0,0,0,0,7,0,0,0,7
restricted stock,0,0,0,0,0,0,0,0,0,0,7,0,0,7
military services,0,0,0,0,0,0,0,0,0,0,0,7,0,7
unemployment benefits,0,0,0,0,0,0,0,0,0,0,0,7,0,7
learnshare,6,0,0,0,0,0,1,0,0,0,0,0,0,7
autonomous vehicles,0,0,0,0,0,0,6,0,0,0,1,0,0,7
drawing,0,0,0,0,0,0,6,0,0,0,1,0,0,7
physics,0,0,0,0,0,0,6,0,0,0,1,0,0,7
code coverage,0,0,6,0,0,0,0,1,0,0,0,0,0,7
encryption,0,0,6,0,0,0,0,0,0,0,1,0,0,7
atscale,0,0,0,1,0,0,0,0,0,6,0,0,0,7
changeset,0,0,0,0,0,0,0,1,0,6,0,0,0,7
technical communication,0,0,0,0,0,0,1,0,0,0,6,0,0,7
financial statements,0,0,0,0,1,5,0,0,0,0,0,1,0,7
test script,0,0,0,0,0,0,5,2,0,0,0,0,0,7
vulnerability management,0,0,1,0,1,0,0,0,0,5,0,0,0,7
distributed computing,0,0,0,0,1,0,1,0,0,0,5,0,0,7
cleanliness,0,0,0,0,2,0,0,0,0,0,0,5,0,7
work order,0,0,0,0,4,0,2,0,0,0,0,1,0,7
secure coding,0,0,3,0,0,4,0,0,0,0,0,0,0,7
vaccination,0,0,0,0,0,1,0,4,0,0,2,0,0,7
fabrication,0,0,0,0,0,3,4,0,0,0,0,0,0,7
junit,0,0,0,0,0,0,4,2,0,0,0,1,0,7
plan execution,0,0,0,1,0,0,4,0,0,0,0,0,2,7
warehouse management systems,0,0,0,0,3,0,4,0,0,0,0,0,0,7
patient registration,0,0,0,0,0,0,0,1,4,0,0,2,0,7
eyes,0,0,0,1,3,1,0,0,0,0,0,2,0,7
project implementation,0,0,0,0,1,1,0,3,0,0,2,0,0,7
change control,0,0,0,0,1,0,3,0,0,2,1,0,0,7
design review,0,0,0,1,0,0,3,2,0,0,1,0,0,7
test data,0,0,0,2,0,0,3,1,0,0,1,0,0,7
information architecture,0,0,3,0,1,0,0,1,0,0,2,0,0,7
technology roadmap,0,0,3,0,0,2,1,0,0,1,0,0,0,7
professionalism,0,0,3,0,0,2,0,0,0,0,2,0,0,7
user experience design,0,0,3,1,1,0,0,0,0,0,2,0,0,7
problem management,0,0,0,3,2,2,0,0,0,0,0,0,0,7
resourcing,0,0,0,0,0,1,0,0,0,3,3,0,0,7
data engineering,0,0,0,0,0,0,0,1,0,3,2,1,0,7
reporting tools,0,0,2,0,0,0,1,0,0,3,1,0,0,7
build process,0,0,0,1,0,2,2,0,0,0,2,0,0,7
web servers,0,0,0,2,0,2,0,1,0,1,1,0,0,7
chef,0,0,0,0,1,1,1,2,0,1,1,0,0,7
resource management,0,0,0,2,1,1,0,2,0,0,1,0,0,7
private cloud,0,0,0,0,0,0,2,1,0,2,1,1,0,7
appeals,0,1,4,0,0,0,2,0,0,0,0,0,0,7
organizational communications,0,1,0,0,3,1,0,0,0,0,1,0,1,7
accounts receivable,0,1,0,0,1,3,1,1,0,0,0,0,0,7
infrastructure automation,0,1,0,0,0,3,0,0,0,0,3,0,0,7
middleware,0,1,0,0,0,3,2,0,0,1,0,0,0,7
application services,0,1,3,0,0,0,1,2,0,0,0,0,0,7
key management,0,1,3,0,1,0,0,0,0,0,1,0,1,7
business software,0,1,0,0,1,1,1,0,0,0,3,0,0,7
continuous quality improvement,0,2,0,0,0,0,0,1,4,0,0,0,0,7
professional services,0,2,0,0,0,0,0,0,0,0,4,1,0,7
performance review,0,2,0,0,0,0,0,0,3,1,1,0,0,7
risk mitigation,0,2,0,1,0,0,0,1,0,0,3,0,0,7
data processing,0,2,0,0,0,0,2,1,0,0,1,1,0,7
internal communications,0,3,0,0,1,0,0,1,0,0,2,0,0,7
deformation,0,5,0,0,1,0,0,0,0,0,1,0,0,7
visual merchandising,6,0,0,0,0,0,0,0,0,0,0,0,0,6
social skills,6,0,0,0,0,0,0,0,0,0,0,0,0,6
transformers,0,0,0,0,6,0,0,0,0,0,0,0,0,6
integrated care,0,0,0,0,0,0,0,6,0,0,0,0,0,6
infection,0,0,0,0,0,0,0,6,0,0,0,0,0,6
care coordination,0,0,0,0,0,0,0,6,0,0,0,0,0,6
chassis,0,0,0,0,0,0,6,0,0,0,0,0,0,6
control engineering,0,0,0,0,0,0,6,0,0,0,0,0,0,6
embedded c,0,0,0,0,0,0,6,0,0,0,0,0,0,6
high voltage,0,0,0,0,0,0,6,0,0,0,0,0,0,6
system requirements specification,0,0,0,0,0,0,6,0,0,0,0,0,0,6
domain driven design,0,0,6,0,0,0,0,0,0,0,0,0,0,6
medical case management,0,0,6,0,0,0,0,0,0,0,0,0,0,6
persuasive communication,0,0,6,0,0,0,0,0,0,0,0,0,0,6
meet commitments,0,0,6,0,0,0,0,0,0,0,0,0,0,6
physical design,0,0,0,0,0,0,0,0,0,6,0,0,0,6
support colleagues,0,0,0,0,0,0,0,0,0,0,0,0,6,6
astyle,0,0,0,0,0,0,0,0,0,0,0,6,0,6
commercial drivers license,0,0,0,0,5,0,0,0,0,0,1,0,0,6
refining,0,0,0,0,0,5,1,0,0,0,0,0,0,6
hospice,0,0,0,0,0,0,0,5,0,0,0,0,1,6
pediatrics,0,0,0,0,0,0,0,5,0,0,0,0,1,6
brand strategy,0,0,5,0,0,0,1,0,0,0,0,0,0,6
quotations,0,0,5,0,0,1,0,0,0,0,0,0,0,6
ajax,0,0,5,0,0,0,1,0,0,0,0,0,0,6
microsoft softwares,0,0,5,0,1,0,0,0,0,0,0,0,0,6
r base,0,0,0,5,0,0,1,0,0,0,0,0,0,6
ruby,0,0,0,0,0,0,0,0,0,1,5,0,0,6
learning agility,4,0,0,0,0,0,2,0,0,0,0,0,0,6
accounting records,0,0,0,0,0,4,0,0,0,0,0,2,0,6
software documentation,0,0,1,0,0,0,4,0,0,0,1,0,0,6
.net framework,0,0,4,0,0,0,2,0,0,0,0,0,0,6
probability,0,0,4,0,0,0,1,1,0,0,0,0,0,6
windows desktop,0,0,4,0,0,2,0,0,0,0,0,0,0,6
forth,0,0,4,0,2,0,0,0,0,0,0,0,0,6
operational maintenance,0,0,0,0,0,0,1,0,4,0,0,1,0,6
reliability engineering,0,0,0,4,0,0,1,0,0,0,1,0,0,6
optometry,0,0,0,0,0,0,0,2,0,0,0,4,0,6
written english,0,0,0,1,0,3,0,0,0,1,1,0,0,6
accounts payable,0,0,0,0,0,3,0,1,0,0,0,0,2,6
configuration management,0,0,0,0,0,1,3,0,0,0,2,0,0,6
industrial engineering,0,0,0,0,1,1,3,0,0,0,1,0,0,6
mechanics,0,0,0,0,1,2,3,0,0,0,0,0,0,6
process control,0,0,1,0,1,0,3,0,0,0,1,0,0,6
robotics,0,0,0,0,1,0,3,0,0,0,2,0,0,6
sketch,0,0,0,0,1,0,3,1,0,0,1,0,0,6
x++,0,0,0,0,1,2,3,0,0,0,0,0,0,6
xceed,0,0,0,3,0,0,3,0,0,0,0,0,0,6
databricks,0,0,3,0,0,1,0,1,0,0,0,1,0,6
snowflake,0,0,3,1,0,1,0,1,0,0,0,0,0,6
microsoft azure,0,0,3,0,1,1,0,1,0,0,0,0,0,6
branding,0,0,3,0,0,0,0,1,0,0,2,0,0,6
business directory,0,0,3,0,0,0,0,2,0,0,1,0,0,6
development planning,0,0,3,0,0,0,0,0,0,3,0,0,0,6
engineering management,0,0,0,3,0,0,2,0,0,0,1,0,0,6
load balancing,0,0,0,0,0,2,0,0,0,3,1,0,0,6
office management,0,0,0,0,1,2,0,0,0,3,0,0,0,6
strategy execution,0,0,0,0,0,0,1,0,0,3,2,0,0,6
cooperation,0,0,0,0,0,2,0,1,0,3,0,0,0,6
strategic leadership,0,0,0,0,0,0,0,0,0,3,0,0,3,6
contract negotiation,0,0,0,0,2,1,2,0,0,1,0,0,0,6
cloud applications,0,0,0,1,0,2,1,1,0,0,1,0,0,6
restful api,0,0,0,1,0,2,1,0,0,1,0,1,0,6
design tool,0,0,0,0,0,0,2,2,0,0,2,0,0,6
data infrastructure,0,0,0,1,0,0,2,2,0,0,0,1,0,6
unstructured data,0,1,0,0,0,4,0,1,0,0,0,0,0,6
employee relations,0,1,0,0,0,0,0,0,4,0,1,0,0,6
infrastructure management,0,1,0,4,0,0,0,0,0,0,1,0,0,6
requirements specifications,0,1,0,0,3,0,2,0,0,0,0,0,0,6
lean six sigma,0,1,0,0,0,0,0,1,0,3,1,0,0,6
hosting,0,1,0,1,0,2,0,2,0,0,0,0,0,6
business partnering,0,1,0,0,1,1,2,0,0,0,1,0,0,6
ideation,0,1,0,0,0,0,2,1,0,0,2,0,0,6
expense reports,0,1,0,0,1,0,1,1,0,0,2,0,0,6
phone support,0,2,0,0,0,0,0,4,0,0,0,0,0,6
metadata,0,2,2,0,0,1,0,0,0,0,1,0,0,6
booking,3,3,0,0,0,0,0,0,0,0,0,0,0,6
talent acquisition,0,3,0,0,0,0,0,1,0,0,2,0,0,6
workforce planning,0,3,0,0,0,0,0,0,0,0,3,0,0,6
perfusion,0,5,0,0,1,0,0,0,0,0,0,0,0,6
virtual teams,0,0,0,0,0,5,0,0,0,0,0,0,0,5
gitlab,0,0,0,0,0,5,0,0,0,0,0,0,0,5
medicaid waiver,0,0,0,0,0,0,0,5,0,0,0,0,0,5
preventive care,0,0,0,0,0,0,0,5,0,0,0,0,0,5
claim processing,0,0,0,0,0,0,0,5,0,0,0,0,0,5
ns,0,0,0,0,0,0,0,5,0,0,0,0,0,5
cpt coding,0,0,0,0,0,0,0,5,0,0,0,0,0,5
ampl,0,0,0,0,0,0,5,0,0,0,0,0,0,5
design technology,0,0,0,0,0,0,5,0,0,0,0,0,0,5
electric vehicle,0,0,0,0,0,0,5,0,0,0,0,0,0,5
igen,0,0,0,0,0,0,5,0,0,0,0,0,0,5
material flow,0,0,0,0,0,0,5,0,0,0,0,0,0,5
ogre,0,0,0,0,0,0,5,0,0,0,0,0,0,5
orator,0,0,0,0,0,0,5,0,0,0,0,0,0,5
data mart,0,0,5,0,0,0,0,0,0,0,0,0,0,5
strategic decision-making,0,0,5,0,0,0,0,0,0,0,0,0,0,5
proprietary software,0,0,5,0,0,0,0,0,0,0,0,0,0,5
multiplexing,0,0,0,5,0,0,0,0,0,0,0,0,0,5
strategic roadmaps,0,0,0,0,0,0,0,0,0,5,0,0,0,5
emc cloud computing,0,0,0,0,0,0,0,0,0,5,0,0,0,5
mitigating control,0,0,0,0,0,0,0,0,0,5,0,0,0,5
security managing,0,0,0,0,0,0,0,0,0,5,0,0,0,5
vulnerability scanning,0,0,0,0,0,0,0,0,0,5,0,0,0,5
cryptography,0,0,0,0,0,0,0,0,0,0,5,0,0,5
food safety certification,0,0,0,0,0,0,0,0,0,0,0,5,0,5
mass production,0,0,0,0,0,0,0,0,0,0,0,5,0,5
